sample_id,lang,report_stem,topic,metric_code,gold_pages,has_gold,candidate_recall_at10,fused_top1,fused_top5,fused_hit_at_1,fused_hit_at_5,fused_hit_at_10,fused_near_at_1,fused_reciprocal_rank,vlm_top1,vlm_top5,vlm_hit_at_1,vlm_hit_at_5,vlm_hit_at_10,vlm_near_at_1,vlm_reciprocal_rank,no_relevant_page,category
248802454c38b4bfbf84,chinese,alchip,水管理,TC-SC-140a.1,32,True,True,31,31|32|29|30|33,0.0,1.0,1.0,1.0,0.5,31,31|32|33|29|30,0.0,1.0,1.0,1.0,0.5,False,neither_top1
9df1172da2c4f1e468ad,chinese,alchip,製造之能源管理,,31,True,True,29,29|31|33|32|30,0.0,1.0,1.0,0.0,0.5,31,31|32|33|29|30,1.0,1.0,1.0,1.0,1.0,False,vlm_improved_top1
9f2360a68977289ab8c4,chinese,alchip,水管理,TC-SC-140a.1,32,True,True,31,31|32|29|30|33,0.0,1.0,1.0,1.0,0.5,32,32|31|29|30|33,1.0,1.0,1.0,1.0,1.0,False,vlm_improved_top1
a45840eb9674d07b1a25,chinese,alchip,水管理,TC-SC-140a.1,32,True,True,29,29|30|31|33|32,0.0,1.0,1.0,0.0,0.2,32,32|33|31|30|34,1.0,1.0,1.0,1.0,1.0,False,vlm_improved_top1
b03198cdfb091737bc16,chinese,alchip,勞工健康與安全,TC-SC-320a.1,,False,,29,29|30|31|40|44,,,,,,44,44|40|43|38|39,,,,,,False,empty_gold
dd5972387b0ecc6e037e,chinese,alchip,製造之能源管理,,31,True,True,31,31|29|33|32|30,1.0,1.0,1.0,1.0,1.0,31,31|29|33|32|30,1.0,1.0,1.0,1.0,1.0,True,both_top1
06f05bf13faa832d045d,chinese,esun,普惠金融與能力建構,,77,True,False,132,132|143|131|133|129,0.0,0.0,0.0,0.0,0.03571428571428571,194,194|193|132|131|129,0.0,0.0,0.0,0.0,0.0,True,candidate_recall_miss
076fa0e067c29f4f0b0c,chinese,esun,一般資訊,,14,True,True,198,198|75|195|14|193,0.0,1.0,1.0,0.0,0.25,75,75|194|198|193|74,0.0,0.0,0.0,0.0,0.08333333333333333,False,neither_top1
2daad2ab367055c23cba,chinese,esun,一般資訊,,14,True,True,198,198|75|195|14|194,0.0,1.0,1.0,0.0,0.25,75,75|195|14|194|193,0.0,1.0,1.0,0.0,0.3333333333333333,True,neither_top1
30dc9da4907e833d89a0,chinese,esun,一般資訊,,14,True,True,75,75|80|14|193|68,0.0,1.0,1.0,0.0,0.3333333333333333,75,75|195|14|80|193,0.0,1.0,1.0,0.0,0.3333333333333333,False,neither_top1
3f160c246ec49f7097e3,chinese,esun,普惠金融與能力建構,FN-CB-240a.1,75,True,True,75,75|194|74|71|64,1.0,1.0,1.0,1.0,1.0,75,75|71|194|74|64,1.0,1.0,1.0,1.0,1.0,False,both_top1
452c7b564ceff476f65b,chinese,esun,一般資訊,,14,True,True,198,198|195|115|194|138,0.0,0.0,1.0,0.0,0.1111111111111111,195,195|194|198|115|138,0.0,0.0,1.0,0.0,0.1111111111111111,True,neither_top1
4e1a13414b336d525da8,chinese,esun,普惠金融與能力建構,FN-CB-240a.1,75,True,True,75,75|74|194|71|195,1.0,1.0,1.0,1.0,1.0,75,75|74|194|71|195,1.0,1.0,1.0,1.0,1.0,False,both_top1
4f8bdbf96a1d8231c22d,chinese,esun,一般資訊,,14,True,True,80,80|193|14|75|68,0.0,1.0,1.0,0.0,0.3333333333333333,80,80|193|14|75|68,0.0,1.0,1.0,0.0,0.3333333333333333,True,neither_top1
5e3fb5b305b96f0140b8,chinese,esun,商業倫理,,97,True,False,195,195|104|135|136|138,0.0,0.0,0.0,0.0,0.0,195,195|104|135|136|138,0.0,0.0,0.0,0.0,0.0,True,candidate_recall_miss
