lang,cid,sid,topic,metric_description,metric_code,page,file_stem,label,answer_value,answer_unit,complete,sasb_category,sasb_unit_of_measure,sasb_key_terms,sasb_what_counts
chinese,tcfh,1,資料安全,(1) 資料洩露數量,FN-CB-230a.1,71,tcfh_071,yes,0,N/A,True,Quantitative,Number|Percentage (%),data breach|personal data breach|account holders affected|cybersecurity|information systems|unauthorised access|encryption,Three values: (1) total number of data breaches; (2) percentage that are personal data breaches (involving personal data destruction/loss/alteration/disclosure); (3) number of unique account holders affected by personal breaches. Must also describe corrective actions taken.
chinese,tcfh,2,資料安全,(2) 資料洩露屬於個人資料洩露之百分比,FN-CB-230a.1,71,tcfh_071,yes,0,N/A,True,Quantitative,Number|Percentage (%),data breach|personal data breach|account holders affected|cybersecurity|information systems|unauthorised access|encryption,Three values: (1) total number of data breaches; (2) percentage that are personal data breaches (involving personal data destruction/loss/alteration/disclosure); (3) number of unique account holders affected by personal breaches. Must also describe corrective actions taken.
chinese,tcfh,3,資料安全,(3) 資料洩露受影響之帳戶持有者數量,FN-CB-230a.1,71,tcfh_071,yes,0,N/A,True,Quantitative,Number|Percentage (%),data breach|personal data breach|account holders affected|cybersecurity|information systems|unauthorised access|encryption,Three values: (1) total number of data breaches; (2) percentage that are personal data breaches (involving personal data destruction/loss/alteration/disclosure); (3) number of unique account holders affected by personal breaches. Must also describe corrective actions taken.
chinese,tcfh,4,資料安全,對辨認及因應資料安全風險之作法之討論,FN-CB-230a.2,71,tcfh_071,yes,N/A,N/A,True,Discussion and Analysis,n/a,data security risk|cybersecurity|vulnerability|ransomware|ISO/IEC 27000|NIST|mobile banking|cyber threats|attack vectors,"Qualitative description of approach to: identifying vulnerabilities, managing data security risks, observed cyber threat trends, breach disclosure policies, alignment with frameworks (ISO/IEC 2700, NIST, NYCRR 500, OCC), emerging threats (mobile banking, ransomware, loan stacking)."
chinese,tcfh,5,普惠金融與能力建構,符合旨在促進小型企業及社區發展計畫之貸款 (1) 數量,FN-CB-240a.1,107,tcfh_107,yes,"61,516",戶,True,Quantitative,Number|Presentation currency,community development loan|small business loan|financial inclusion|low-income|moderate-income|CDFI|microfinance|community development finance,Two values: (1) total NUMBER of qualifying loans outstanding; (2) total AMOUNT outstanding in presentation currency. Scope includes community development loans (low/moderate-income) and small business loans (including farms). EXCLUDES personal expenditures and residential property loans.
chinese,tcfh,5,普惠金融與能力建構,符合旨在促進小型企業及社區發展計畫之貸款 (1) 數量,FN-CB-240a.1,105,tcfh_105,yes,"88,644",戶,True,Quantitative,Number|Presentation currency,community development loan|small business loan|financial inclusion|low-income|moderate-income|CDFI|microfinance|community development finance,Two values: (1) total NUMBER of qualifying loans outstanding; (2) total AMOUNT outstanding in presentation currency. Scope includes community development loans (low/moderate-income) and small business loans (including farms). EXCLUDES personal expenditures and residential property loans.
chinese,tcfh,6,普惠金融與能力建構,符合旨在促進小型企業及社區發展計畫之貸款 (2) 餘額,FN-CB-240a.1,107,tcfh_107,yes,"3,286",億元,True,Quantitative,Number|Presentation currency,community development loan|small business loan|financial inclusion|low-income|moderate-income|CDFI|microfinance|community development finance,Two values: (1) total NUMBER of qualifying loans outstanding; (2) total AMOUNT outstanding in presentation currency. Scope includes community development loans (low/moderate-income) and small business loans (including farms). EXCLUDES personal expenditures and residential property loans.
chinese,tcfh,6,普惠金融與能力建構,符合旨在促進小型企業及社區發展計畫之貸款 (2) 餘額,FN-CB-240a.1,105,tcfh_105,yes,"10,551.05",億元,True,Quantitative,Number|Presentation currency,community development loan|small business loan|financial inclusion|low-income|moderate-income|CDFI|microfinance|community development finance,Two values: (1) total NUMBER of qualifying loans outstanding; (2) total AMOUNT outstanding in presentation currency. Scope includes community development loans (low/moderate-income) and small business loans (including farms). EXCLUDES personal expenditures and residential property loans.
chinese,tcfh,7,普惠金融與能力建構,符合旨在促進小型企業及社區發展計畫之逾期及催收款項或受暫緩還款約束貸款之 (1) 數量,FN-CB-240a.2,107,tcfh_107,yes,"71,000",戶,True,Quantitative,Number|Presentation currency,past due loan|nonaccrual loan|forbearance|community development|small business|low-income|moderate-income,Two values: (1) total NUMBER of past due/nonaccrual loans OR loans subject to forbearance that qualify for small business/community development programmes; (2) total AMOUNT outstanding. Includes originated and purchased loans.
chinese,tcfh,8,普惠金融與能力建構,符合旨在促進小型企業及社區發展計畫之逾期及催收款項或受暫緩還款約束貸款之 (2) 餘額,FN-CB-240a.2,107,tcfh_107,yes,"8,200",億元,True,Quantitative,Number|Presentation currency,past due loan|nonaccrual loan|forbearance|community development|small business|low-income|moderate-income,Two values: (1) total NUMBER of past due/nonaccrual loans OR loans subject to forbearance that qualify for small business/community development programmes; (2) total AMOUNT outstanding. Includes originated and purchased loans.
