# valid error_taxonomy_category values: candidate_generation_miss|wrong_toc_section|exact_vs_adjacent_page|sasb_index_reference_page|evidence_spanning_pages|topical_mention_without_metric_evidence|table_extraction_or_reading_order_failure|ocr_failure|missing_value_unit_denominator_scope_period_disaggregation|full_vs_partial_boundary|ambiguous_or_conflicting_gold|model_json_or_normalization_failure|other
sample_id,lang,report_stem,topic,metric_code,gold_pages,category,candidate_recall_at10,fused_top5,vlm_top5,no_relevant_page,annotator_initials,error_taxonomy_category,is_prediction_actually_correct,correct_page_if_different_from_gold,notes
b9763451dd7e1b63f3de,korean,nepes,Workforce Health & Safety,"Description of efforts to assess, monitor, and reduce exposure of workforce to human health hazards",17,candidate_recall_miss,False,23|24|30|27|21,23|24|30|27|21,False,,,,,
d6ebd452c30c3b668b81,english,2022-baytex-esg-report-final,Greenhouse Gas Emissions,EM-EP-110a.1,,empty_gold,,52|82|87|63|12,46|52|82|9|47,False,,,,,
56d04ea1c2584a4d421f,thai,bafs,Greenhouse Gas Emissions,EM-RM-110a.2,62,vlm_improved_top1,True,217|64|62|216|191,62|60|61|66|64,False,,,,,
51517c0b380c8853c513,chinese,gtg,Activity Metrics,IF-GU-000.B,,empty_gold,,52|33|38|12|30,52|33|38|12|30,False,,,,,
30dc9da4907e833d89a0,chinese,esun,一般資訊,,14,neither_top1,True,75|80|14|193|68,75|195|14|80|193,False,,,,,
3c095cba3aaf07325dc1,chinese,spt,"Employee Recruitment, Development & Retention",,68,candidate_recall_miss,False,1,1,False,,,,,
d9c8874df850b4701126,thai,tisco,Financed Emissions,FN-CB-410b.4,,empty_gold,,197|217|44|223|35,197|223|217|35|43,False,,,,,
1acf7f1f4499ff53f107,japanese,itochu_corp,Labour_Practices,CG-MR-310a.1,165,candidate_recall_miss,False,114|167|44|161|119,114|167|44|161|119,True,,,,,
7bb2aa358d071763f8eb,thai,cimbt,Data Security,FN-CB-230a.2,,empty_gold,,59|56|89|73|30,59|56|32|90|89,False,,,,,
89cc778ca72bd977f981,french,malakoff-humanis-rapport-esg-climat-article-29-loi-energie-climat-exercice-2022-mh-22365-2306-192,Policies Designed to Incentivise Responsible Behaviour,FN-IN-410b.2,17,candidate_recall_miss,False,19|45|20|27|39,19|45|20|27|39,True,,,,,
ffdace5dc1f4c0578d4d,french,totalenergies_sustainability-climate-2024-progress-report_2024_fr_pdf,Air Quality,EM-MD-120a.1,105,vlm_improved_top1,True,34|105|101|75|37,105|75|37|38|34,False,,,,,
0f7500d416a4e93b3a64,thai,tisco,Data Security,FN-CB-230a.1,58,candidate_recall_miss,False,217|238|243|210|35,217|238|243|210|35,True,,,,,
a59b89d660b2bdfc3009,chinese,psi,水管理,TC-SC-140a.1,52,vlm_improved_top1,True,78|80|52|79|18,52|53|56|80|78,False,,,,,
