sample_id,lang,report_stem,gold_pages,pred_top1,hit_at_1,hit_at_5,hit_at_10,near_at_1,reciprocal_rank
248802454c38b4bfbf84,chinese,alchip,32,31,0.0,1.0,1.0,1.0,0.5
9df1172da2c4f1e468ad,chinese,alchip,31,31,1.0,1.0,1.0,1.0,1.0
9f2360a68977289ab8c4,chinese,alchip,32,31,0.0,1.0,1.0,1.0,0.5
a45840eb9674d07b1a25,chinese,alchip,32,16,0.0,1.0,1.0,0.0,0.2
dd5972387b0ecc6e037e,chinese,alchip,31,31,1.0,1.0,1.0,1.0,1.0
06f05bf13faa832d045d,chinese,esun,77,132,0.0,0.0,0.0,0.0,0.0
076fa0e067c29f4f0b0c,chinese,esun,14,198,0.0,1.0,1.0,0.0,0.5
2daad2ab367055c23cba,chinese,esun,14,14,1.0,1.0,1.0,1.0,1.0
30dc9da4907e833d89a0,chinese,esun,14,14,1.0,1.0,1.0,1.0,1.0
3f160c246ec49f7097e3,chinese,esun,75,71,0.0,1.0,1.0,0.0,0.25
452c7b564ceff476f65b,chinese,esun,14,198,0.0,1.0,1.0,0.0,0.5
4e1a13414b336d525da8,chinese,esun,75,194,0.0,1.0,1.0,0.0,0.25
4f8bdbf96a1d8231c22d,chinese,esun,14,14,1.0,1.0,1.0,1.0,1.0
5e3fb5b305b96f0140b8,chinese,esun,97,195,0.0,0.0,0.0,0.0,0.038461538461538464
791aeca0d93957e6e5ef,chinese,esun,97,105,0.0,0.0,0.0,0.0,0.0
80776b5d0ac910030499,chinese,esun,14,198,0.0,1.0,1.0,0.0,0.5
a8c999a993563a9e6022,chinese,esun,14,80,0.0,1.0,1.0,0.0,0.25
b210cf230d476bc53a6c,chinese,esun,58,194,0.0,1.0,1.0,0.0,0.5
bba2d70d4f0dc09f69f3,chinese,esun,14,198,0.0,0.0,0.0,0.0,0.047619047619047616
beae732cfc3b01ff38f6,chinese,esun,14,14,1.0,1.0,1.0,1.0,1.0
caf169832bf6d03ccd32,chinese,esun,77,139,0.0,0.0,0.0,0.0,0.0
db022f6b9cef8fdc832a,chinese,esun,14,14,1.0,1.0,1.0,1.0,1.0
841d178137ad30b5ec5b,chinese,fpcc,57,123,0.0,0.0,0.0,0.0,0.0625
897b5595ce02401ff438,chinese,fpcc,38|39|40|42,125,0.0,0.0,0.0,0.0,0.0
914c3d4375402a23082a,chinese,fpcc,56,123,0.0,0.0,1.0,0.0,0.1
d2640a7357ceeb8e1429,chinese,fpcc,67,124,0.0,0.0,0.0,0.0,0.0
d5de42da7576d460f285,chinese,fpcc,79|81,125,0.0,0.0,0.0,0.0,0.05263157894736842
fcca5dfb8842d339ef29,chinese,fpcc,56|57|58,123,0.0,0.0,0.0,0.0,0.043478260869565216
412c5d2deb01e84befa2,chinese,gtg,29|30|32,52,0.0,0.0,0.0,0.0,0.05555555555555555
4702c5404d863e1c9e81,chinese,inx,70,70,1.0,1.0,1.0,1.0,1.0
683c9ddef4d92b35892f,chinese,inx,69,174,0.0,0.0,0.0,0.0,0.0
6dd8c057d87af2fb9492,chinese,inx,69,167,0.0,0.0,0.0,0.0,0.0
719cd29975ae456e1d68,chinese,inx,69,167,0.0,0.0,0.0,0.0,0.0
84039f11f928fe883eac,chinese,inx,69,174,0.0,0.0,0.0,0.0,0.0
c1fa043be97f6421fb87,chinese,inx,69,174,0.0,0.0,0.0,0.0,0.03333333333333333
da7820ce83cf834a6a80,chinese,inx,84,174,0.0,0.0,0.0,0.0,0.0
ded84d16a6c52b620891,chinese,inx,84,174,0.0,0.0,0.0,0.0,0.0
433fe03fd13edfdbc835,chinese,kye,22,92,0.0,0.0,0.0,0.0,0.0
86c4136268c386bb09dd,chinese,largan,75,104,0.0,0.0,0.0,0.0,0.07692307692307693
879f4ccca3b0168546ea,chinese,largan,75,104,0.0,0.0,0.0,0.0,0.07692307692307693
d1b6a6f27c23b9f59553,chinese,largan,75,104,0.0,0.0,0.0,0.0,0.07692307692307693
f756a038fe92c49c5dae,chinese,largan,40,104,0.0,0.0,0.0,0.0,0.0
1b25879862e5e4fc7141,chinese,mfhc,40,92,0.0,0.0,0.0,0.0,0.037037037037037035
2582bba597c91b02e937,chinese,mfhc,34,92,0.0,0.0,1.0,0.0,0.14285714285714285
30746a55421ccf91d297,chinese,mfhc,40,74,0.0,0.0,0.0,0.0,0.0
38c836092dc2e68f4343,chinese,mfhc,34,92,0.0,0.0,1.0,0.0,0.125
48a748982794bdd26320,chinese,mfhc,34,92,0.0,0.0,0.0,0.0,0.07692307692307693
6be02c68fb62c73ae06d,chinese,mfhc,30,92,0.0,0.0,0.0,0.0,0.043478260869565216
6dc521fe128522f48bb1,chinese,mfhc,34,92,0.0,0.0,0.0,0.0,0.041666666666666664
77ccc6ec4e06c4c042d0,chinese,mfhc,34,92,0.0,0.0,0.0,0.0,0.07692307692307693
98c28c8aba20cc5e1ea1,chinese,mfhc,34,92,0.0,1.0,1.0,0.0,0.2
9e0aa44b8c1f76943ad9,chinese,mfhc,34,92,0.0,1.0,1.0,0.0,0.3333333333333333
a1574825364597df8164,chinese,mfhc,34,92,0.0,0.0,1.0,0.0,0.1
a4f3b103d4773e8b5c89,chinese,mfhc,34,92,0.0,0.0,0.0,0.0,0.08333333333333333
b72fae7297b174804da7,chinese,mfhc,39|40,69,0.0,0.0,0.0,0.0,0.0
b8efde469e427e63d8ca,chinese,mfhc,40,56,0.0,0.0,0.0,0.0,0.05555555555555555
b962c92b6e01fffff12d,chinese,mfhc,34,92,0.0,0.0,0.0,0.0,0.05
d754499b0a9a5c833a63,chinese,mfhc,34,92,0.0,0.0,1.0,0.0,0.1111111111111111
dc80f940f841089616d6,chinese,mfhc,34,92,0.0,0.0,1.0,0.0,0.125
eccac6748edc6800f408,chinese,mfhc,34,92,0.0,0.0,1.0,0.0,0.14285714285714285
f39e92d7d085f27d9994,chinese,mfhc,34,92,0.0,1.0,1.0,0.0,0.2
429c9cab6bf9262dcb3d,chinese,npc,76,97,0.0,0.0,0.0,0.0,0.037037037037037035
45e18853cdbe16143a34,chinese,npc,55,55,1.0,1.0,1.0,1.0,1.0
51fc7dd50483d59855e9,chinese,npc,55,55,1.0,1.0,1.0,1.0,1.0
0e0e8cf374ce4af1620f,chinese,pegavision,49,57,0.0,0.0,0.0,0.0,0.04
4fbf0bb2a56505fe4d78,chinese,pegavision,49,57,0.0,0.0,0.0,0.0,0.041666666666666664
ee2c984c1cd669ebdff5,chinese,pegavision,49,57,0.0,0.0,1.0,0.0,0.14285714285714285
0874e8503c17740090d4,chinese,psi,44,79,0.0,1.0,1.0,0.0,0.3333333333333333
977fb80b768ae44c1eeb,chinese,psi,55,46,0.0,0.0,1.0,0.0,0.1111111111111111
a59b89d660b2bdfc3009,chinese,psi,52,78,0.0,1.0,1.0,0.0,0.5
c5837a23191559acce9e,chinese,psi,55,80,0.0,1.0,1.0,0.0,0.5
c80ec6b446a1b53dc268,chinese,psi,52,78,0.0,1.0,1.0,0.0,0.5
3c095cba3aaf07325dc1,chinese,spt,68,1,0.0,0.0,0.0,0.0,0.0
4955d4323e532e85d09b,chinese,spt,65,1,0.0,0.0,0.0,0.0,0.0
985bef32aef227d8689c,chinese,spt,68,1,0.0,0.0,0.0,0.0,0.0
0e8a3b6f1216f2139e9c,chinese,tcfh,57,175,0.0,0.0,0.0,0.0,0.0
2d2d45622e5aacae08c9,chinese,tcfh,86|88|91,175,0.0,0.0,1.0,0.0,0.1111111111111111
6e46bc48d7eb1a2796b7,chinese,tcfh,60|61,175,0.0,0.0,0.0,0.0,0.0
0c99967238f3168db8bb,chinese,tsmc,102,19,0.0,0.0,0.0,0.0,0.0
4f394ee4c59d4233ef9a,chinese,tsmc,97,19,0.0,1.0,1.0,0.0,0.5
5b863040d9e5a876a227,chinese,tsmc,96|97,19,0.0,0.0,1.0,0.0,0.1111111111111111
787e9c109587cff313d0,chinese,tsmc,163|164|165|175|176,19,0.0,0.0,0.0,0.0,0.0
bccd1d581d779616c860,chinese,tsmc,102,19,0.0,0.0,0.0,0.0,0.0
d524b5cfe619d36cdea4,chinese,tsmc,43,43,1.0,1.0,1.0,1.0,1.0
e97706277c47b3b95f97,chinese,tsmc,82,158,0.0,0.0,0.0,0.0,0.0
565fa568563991955cd9,english,06-21_gb-_lvmh_rse2022,128|129|130|132,128,1.0,1.0,1.0,1.0,1.0
67d0d362a56e9cfac501,english,06-21_gb-_lvmh_rse2022,130|132,128,0.0,1.0,1.0,0.0,0.5
ae9637b268357978cf24,english,06-21_gb-_lvmh_rse2022,86,106,0.0,0.0,0.0,0.0,0.0
c2b99af2a4ca3d2681e8,english,06-21_gb-_lvmh_rse2022,77|91|94|95|102|105|110|111,105,1.0,1.0,1.0,1.0,1.0
d83514208184317346b8,english,06-21_gb-_lvmh_rse2022,32|55|77|83|97|98|99|102|103|128,51,0.0,1.0,1.0,0.0,0.3333333333333333
f98f4adc1cf9df5df847,english,06-21_gb-_lvmh_rse2022,32|132,130,0.0,1.0,1.0,0.0,0.2
06a55b5f61d8a026b784,english,2022-baytex-esg-report-final,54,54,1.0,1.0,1.0,1.0,1.0
08299bc8465cfecfc415,english,2022-baytex-esg-report-final,53,53,1.0,1.0,1.0,1.0,1.0
1935926bc83b1885753e,english,2022-baytex-esg-report-final,54,54,1.0,1.0,1.0,1.0,1.0
42a2aed39f9da632fc46,english,2022-baytex-esg-report-final,55,55,1.0,1.0,1.0,1.0,1.0
55984499e9da70c24c35,english,2022-baytex-esg-report-final,53,53,1.0,1.0,1.0,1.0,1.0
5815a843c1f1055e244c,english,2022-baytex-esg-report-final,54,54,1.0,1.0,1.0,1.0,1.0
5daa96f92790a44b8c42,english,2022-baytex-esg-report-final,55,55,1.0,1.0,1.0,1.0,1.0
641f74f544a781bda875,english,2022-baytex-esg-report-final,53,53,1.0,1.0,1.0,1.0,1.0
66155ac5f3fa0e2aa6ac,english,2022-baytex-esg-report-final,34,54,0.0,1.0,1.0,0.0,0.3333333333333333
6e54c68a867d4c37126a,english,2022-baytex-esg-report-final,28|29,54,0.0,1.0,1.0,0.0,0.3333333333333333
708e34a709a77348e6c3,english,2022-baytex-esg-report-final,15|16,53,0.0,1.0,1.0,0.0,0.5
7b98fc18387def75cd4d,english,2022-baytex-esg-report-final,53,53,1.0,1.0,1.0,1.0,1.0
7fcb333e98ac6d79913e,english,2022-baytex-esg-report-final,54,54,1.0,1.0,1.0,1.0,1.0
8aa3c5977066e4aaa637,english,2022-baytex-esg-report-final,53,53,1.0,1.0,1.0,1.0,1.0
9408d181d578d46e69a3,english,2022-baytex-esg-report-final,54,54,1.0,1.0,1.0,1.0,1.0
99af310f89a28bb5c0d5,english,2022-baytex-esg-report-final,55,55,1.0,1.0,1.0,1.0,1.0
9da8adb15305794b9f2c,english,2022-baytex-esg-report-final,53,53,1.0,1.0,1.0,1.0,1.0
a53a71a6c6f0a60047e7,english,2022-baytex-esg-report-final,35,54,0.0,1.0,1.0,0.0,0.25
af12b35cef1eda790f58,english,2022-baytex-esg-report-final,54,54,1.0,1.0,1.0,1.0,1.0
d4c4c55f21ea2f820acb,english,2022-baytex-esg-report-final,53,53,1.0,1.0,1.0,1.0,1.0
de480f1bf76a59f99ad3,english,2022-baytex-esg-report-final,55,55,1.0,1.0,1.0,1.0,1.0
dfc0dbda54b19dd94397,english,2022-baytex-esg-report-final,54,54,1.0,1.0,1.0,1.0,1.0
fa8ff7e6d5e57e0c75a8,english,2022-baytex-esg-report-final,54,54,1.0,1.0,1.0,1.0,1.0
fb4422a8e5b6419c6340,english,2022-baytex-esg-report-final,10|11|13,52,0.0,0.0,1.0,0.0,0.16666666666666666
ff42abdb123a06424cfa,english,2022-baytex-esg-report-final,16,53,0.0,1.0,1.0,0.0,0.5
6750e6ca46fe402c57ac,english,burberry_2020-21_esg,34,30,0.0,1.0,1.0,0.0,0.3333333333333333
73b7e8ef0412a66b0b9e,english,burberry_2020-21_esg,19|20,30,0.0,1.0,1.0,0.0,0.3333333333333333
3888efcac10564ace059,english,cannickel-esg-report2023-print,45|53,54,0.0,0.0,1.0,1.0,0.16666666666666666
4b3a8f5d6fe185536f29,english,cannickel-esg-report2023-print,55,48,0.0,0.0,0.0,0.0,0.06666666666666667
56009d1b85f1f8efd1f7,english,cannickel-esg-report2023-print,31,31,1.0,1.0,1.0,1.0,1.0
62eabafb49790e225fd3,english,cannickel-esg-report2023-print,53,62,0.0,1.0,1.0,0.0,0.25
8f113da9daadefbd2aab,english,cannickel-esg-report2023-print,10,12,0.0,0.0,1.0,0.0,0.1111111111111111
914433a05a6b8e0010e7,english,cannickel-esg-report2023-print,53,48,0.0,0.0,1.0,0.0,0.14285714285714285
a22c5e2bd44c4b7ffad8,english,cannickel-esg-report2023-print,33,33,1.0,1.0,1.0,1.0,1.0
b26853fe74fc9c84d9ba,english,cannickel-esg-report2023-print,31|35|55,55,1.0,1.0,1.0,1.0,1.0
c03f6c43791dd364d316,english,cannickel-esg-report2023-print,53,53,1.0,1.0,1.0,1.0,1.0
314b191a643220b3977d,english,esg-2022,18,47,0.0,0.0,1.0,0.0,0.16666666666666666
8bfba94a2e1501f2bf21,english,esg-2022,14,14,1.0,1.0,1.0,1.0,1.0
f3d61f6fd61a57dd774f,english,esg-2022,7|21,16,0.0,0.0,1.0,0.0,0.1
00b0ae20462770abe10d,english,esg-report-2022,31|43,10,0.0,0.0,0.0,0.0,0.06666666666666667
10ea4f1fefb67afcb332,english,esg-report-2022,22,9,0.0,1.0,1.0,0.0,0.5
5511a5d396eaca8711bc,english,esg-report-2022,8|9|12|14,7,0.0,1.0,1.0,1.0,0.3333333333333333
9a1c4cf0f88981b19837,english,esg-report-2022,14,14,1.0,1.0,1.0,1.0,1.0
b7e7be4359f80e3142fa,english,esg-report-2022,45,45,1.0,1.0,1.0,1.0,1.0
1196d9d5bab9341213a7,english,esg-report-2022-final_ada,23|24,76,0.0,1.0,1.0,0.0,0.5
3544a681245aed578f70,english,esg-report-2022-final_ada,62|63,76,0.0,1.0,1.0,0.0,0.25
438d1c68e568217fcae1,english,esg-report-2022-final_ada,26,77,0.0,1.0,1.0,0.0,0.25
4e5170e74817b2782d0b,english,esg-report-2022-final_ada,40|43|47|57|59|60,76,0.0,1.0,1.0,0.0,0.25
2f9719c5601b17217748,english,esgreport2022,91,91,1.0,1.0,1.0,1.0,1.0
37b07ff2fdece799a4d1,english,esgreport2022,81|98,81,1.0,1.0,1.0,1.0,1.0
3907974d43ef6ce62a88,english,esgreport2022,98,83,0.0,0.0,0.0,0.0,0.03571428571428571
413b71374c30b6ef4867,english,esgreport2022,91,13,0.0,1.0,1.0,0.0,0.5
843ff865391acc8c8bdc,english,esgreport2022,30,38,0.0,0.0,0.0,0.0,0.0
c5e02adebab64081e529,english,esgreport2022,96|97|100,62,0.0,0.0,0.0,0.0,0.0
fb1bedef099a047090aa,english,esgreport2022,33|34|35,33,1.0,1.0,1.0,1.0,1.0
5f9c50c72cd02a0becd0,english,kering_sustainability_progress_report_2020_2023_7d06687606,2|21,19,0.0,0.0,1.0,0.0,0.125
678235adcf952c2f374a,english,kering_sustainability_progress_report_2020_2023_7d06687606,11,12,0.0,1.0,1.0,1.0,0.5
adcb0a6c013d76e38da5,english,kering_sustainability_progress_report_2020_2023_7d06687606,11,10,0.0,0.0,1.0,1.0,0.1
188b357ae7e18d78b458,french,20230630_rapportesg2022_coveafinance_vf,14,14,1.0,1.0,1.0,1.0,1.0
